职位	薪资	技能要求	工作地址	公司名	公司信息	发布时间	url	当前页数
IOS	11k-14k	1、3年以上iOS开发经验2、具有扎实的Object-C语言基础、熟悉常用的系统组件和第三方控件3、熟练掌握iOS开发、测试、调优工具4、深入理解iOS中多线程、内存管理机制硬性要求：统招本科学历，学信网可查此岗位是驻场开发，工作地点稳定，大型项目。工作地址：地铁昌平线生命科学园附近FSIBU—文思海辉金融事业部，立足于中国金融行业，并以银行业为主业，以“为中国银行业提供卓越的、全面的解决方案和服务”为己任，专注于金融业软件与信息技术服务的综合性IT服务，其中包括应用软件、行业信息化解决方案、IT基础架构建设解决方案和增值服务等。	北京 昌平区 沙河	文思海辉	计算机软件	发布于03月02日	/job_detail/3e753c522cb60b321XR_2dq8FFo~.html	1
iOS	19k-22k	"岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、负责编写系统中的关键模块和关键算法的程序，并进行综合测试、修改、代码走查工作；5、负责系统的总体技术方案与系统设计，系统的质量控制；6、配合项目经理完成相关任务目标。iOS任职要求：1、本科及以上学历，计算机相关专业；2、具有丰富的手机软件架构设计经验和性能调优经验；3、熟练掌握各种分析工具，能根据产品需求分析并制定技术实施方案，编写设计开发及实现文档；4、掌握iOS中界面绘制、后台运行、数据存储、网络通信机制等的原理；5、精通UI设计，熟悉移动终端特性和开发特点，善于解决iOS平台各类常见问题；6、具备强烈的进取心和责任感,极强的学习能力及良好的团队合作精神；公司简介：东奥教育集团，始建于1998年，是中国会计教育的领航者。20年来，我们汇集业界名师，广招千万学员，用平台铺就跑道，用品质成就梦想！"	北京 海淀区 魏公村	东奥教育集团	在线教育	发布于05月28日	/job_detail/dabbe20531eabaf21XRz09y0F1A~.html	1
iOS	10k-20k	ios开发要求招聘要求1、精通ios开发，能独立开发app;2、负责对公司app制定架构并迭代升级;3、熟练微信支付，支付宝支付等支付接口和第三方登陆接口;4、抗压能力强，能独立完成领导安排的工作;5、责任心强，勇于探索新技术;岗位职责1、负责公司app开发，并制定开发架构;2、深入理解iOSSDK，具有丰富的Objective-C，C/C++;3、2年以上iOS开发经验，能独立开发iOSApp；	北京 海淀区 紫竹桥	北京沐沦河商贸	互联网	发布于02月26日	/job_detail/72768a12616598941nJy0tm_EFM~.html	1
iOS	20k-40k	"工作内容：1、负责Boss直聘IOS开发；2、负责新产品的可行性研究及相关技术方案的研究和技术选型；3、根据研发过程中的体验对产品提出建议；4、研究新兴技术，满足产品需求；5、负责版本的系统设计、性能及内存调优工作。任职要求：1、两年以上iOS软件开发经验,熟练掌握Objective-C编程语言；2、熟练UI控件封装，熟悉网络编程、数据存储相关知识；3、熟练掌握iOS开发技术，包括但不限于内存管理、多线程、Runtime、网络编程等，熟练使用Xcode及相关调试工具；4、良好的编码习惯（主要是命名规范、代码注释），Git、SVN等代码共享软件的使用。5、211/985重点高校计算机科班出身优先。为客户匹配的每一份合适的岗位，也是一次次对我个人价值的肯定。"	北京 朝阳区 太阳宫	Boss直聘	人力资源服务	发布于02月27日	/job_detail/81a030e75e73c1d61HF639u1E1Y~.html	1
iOS	9k-14k	岗位描述：1、负责iOS客户端软件的产品开发与维护；2、完成客户端软件需求的整理和软件的设计；3、按照项目计划按时提交高质量的代码完成开发任务；4、规范和文档的编写、维护。岗位需求：1、统招本科以上学历，计算机相关专业，熟悉C、C++基础，熟悉OC语言2、对数据结构、基本算法熟练掌握，具备算法设计能力；3、具备快速学习能力及独立分析、设计、解决问题的能力；4、工作踏实认真，具有良好的沟通能力和团队合作精神，能承受起较高强度的工作压力。5、能够接受出差。	北京 朝阳区 朝外	CSII	计算机软件	发布于昨天	/job_detail/d95e512397633cf21XJ709S5E1M~.html	1
iOS	15k-30k	"岗位职责：1、负责应用开发iOS端的架构设计和管理工作；2、负责应用基础架构的设计和具体编码工作；3、参与、审核APP功能模块设计和进行具体编码工作；4、解决项目中遇到的核心技术难点，优化开发流程，指导代码重构；5、与产品和后端沟通功能设计，实现方案；6、向上沟汇报iOS开发进度；任职要求：1、了解ReactNative的实现原理，熟练掌握ES6,React;2、熟悉hybridapp开发模式；3、1-2年ReactNative开发经验；4、熟练使用HTML5,CSS,JAVASCRIPT开发跨平台（IOS、Android）项目；5、熟悉各种浏览器的兼容性调试技术；6、对Swift，OC有深入理解，对内存机制有深入理解，了解iphoneSDK以及开发流程；7、对iOS系统机制有深入了解，了解iOS系统核心组件运行机制，熟悉iOSUI相关组件的设计模式和编码方式；8、能够解决应用开发中遇到的关键问题；9、有一定的领导能力，善于沟通；"	北京 朝阳区 北苑	闲徕互娱	游戏	发布于06月04日	/job_detail/0a6ecfaccb68e4511n1y3Nq_FVY~.html	1
IOS	20k-21k	4~5年的Objective-CandXcode(iOSSDK)开发经验熟悉RESTful/SOAPWebService，会Swift是加分项英语：读听写熟练	北京 东城区 东单	东华博雅	计算机软件	发布于12月17日	/job_detail/fb46558e284623721Xd939u4GVc~.html	1
iOS	8k-13k	IOS开发工程师岗位职责：1、负责技术方案、与后端接口的设计工作。2、编写APP，完成设计功能以及测试。任职要求：1、统招大专及以上学历，具有一年以上iOS平台相关研发经验；2、使用Swift，熟悉iOS的内存管理机制和多线程开发；3、对于MVC框架或常见设计模式有自己的理解，并熟练使用，有良好的组织代码习惯。4、快速的学习能力，责任心强，思路清晰，思维敏捷，良好的英文资料阅读能力；5、能承担较大工作压力，具备良好的沟通能力和团队合作精神。	北京 朝阳区 望京	蓝涟科技	移动互联网	发布于12月10日	/job_detail/e154cf476a8037ad1XZ_0tm1GVE~.html	1
iOS	11k-15k	除了对ios需要比较熟悉外希望能力多元化一些有一些创造力需要较好的沟通能力	北京 海淀区 五道口	诺百爱	智能硬件	发布于02月25日	/job_detail/449c35252c92b2ea1HB92NS7F1c~.html	1
iOS	15k-30k	这是一个内推岗位IM相关职位描述：1、负责公司移动端产品研发，编写高质量的代码；2、设计良好的代码结构，不断迭代重构。职位要求：1、热爱编程，逻辑思维强，扎实的计算机基础，追求良好的用户体验；2、对工作负责，具备良好的沟通能力和优秀的团队协作能力；3、熟练掌握oc、swift；4、有优秀产品开发经验者优先；5、学历本科及以上。	北京 海淀区 学院路	今日头条	移动互联网	发布于11:04	/job_detail/88486511f317bfc31HF509W9FFI~.html	1
iOS	20k-35k	"职位描述负责iOSApp的开发，编写高质量的代码参与设计复杂业务架构，并主导客户端设计及实现基础技能1,熟悉UIKit,CoreData,APNs,多线程，ARC/MRC等技术2,深入理解iOSSDK，具有丰富的Objective-C或swift3,ios下有音频播放器工作经历4,良好的编程风格，扎实的编程基础和数据结构算法基础5,对APP架构，解耦方案等有一定的认知6,具备团队开发经验，熟练掌握Git等常见工具的使用7,习惯查阅英文资料，如Apple官方文档，StackOverflow等8,具有良好的沟通能力，团队精神，具有解决难题的钻研毅力和能力加分项参与开发过内容型IOSapp项目精通Swift玩Github，StackOverflow并有开源项目有上架个人作品"	北京 朝阳区 望京	ISTMEDIA 	广告营销	发布于03月01日	/job_detail/4202ab661e0dc3a31Hd809m5E1Q~.html	1
IOS开发工程师	20k-40k	"负责boss直聘-Bosshi产品的IOS开发。任职要求：1.三年以上iOS软件开发经验,熟练掌握Objective-C编程语言；2.熟练UI控件封装，熟悉网络编程、数据存储相关知识；3.熟练掌握iOS开发技术，包括但不限于内存管理、多线程、Runtime、网络编程等，熟练使用Xcode及相关调试工具；4.良好的编码习惯（主要是命名规范、代码注释），Git、SVN等代码共享软件的使用。"	北京 朝阳区 太阳宫	Boss直聘	人力资源服务	发布于02月20日	/job_detail/9395af88ae010b041HB52dm8FVA~.html	1
iOS	18k-25k	"1、	互联网教育产品iOS客户端的设计与开发2、	互联网教育产品iOS客户端代码维护和性能优化3、	参与项目技术方案的制定，研究行业前沿技术2.	职位要求技能要求:	1、	具有两年以上iOS平台相关研发经验，有社交类产品开发经验者优先2、	熟练使用Objective-C，熟悉iOS的内存管理机制和多线程开发，具有良好的C/C++语言基础3、	对于程序性能优化有一定经验，了解并使用面向接口开发模式，对http协议有一定了解，并可以熟练使用，熟悉XML/JSON数据结构4、	对于MVC框架或常见设计模式有自己的理解，并熟练使用，有良好的组织代码习惯5、	逻辑思维能力强，思路清晰，有创造性，有良好的英文资料阅读能力6、	求知欲强，有团队协作意识在线教育"	北京 海淀区 苏州街	新东方在线	在线教育	发布于09月26日	/job_detail/b9b17a9e5ccf8dd60nV62t8~.html	1
